categories,subgenres
Action/Adventure,"['Action', 'Adventure', 'Action/Adventure', 'Martial Arts Film', 'Action Thrillers', 'Fantasy Adventure', 'Superhero movie', 'Heist', 'Superhero', 'Action Comedy', 'Adventure Comedy', 'Swashbuckler films', 'Chase Movie', 'Costume Adventure', 'Wuxia', 'Auto racing', 'Escape Film', 'Samurai cinema', 'Sci-Fi Adventure', 'Sword and Sandal', 'Ninja movie', 'Movies About Gladiators', 'Prison escape', 'Outlaw', 'Road movie', 'Jungle Film', 'Buddy cop', 'Cavalry Film']"
Adaptation,"['Film adaptation', 'Remake', 'Live action', 'Reboot']"
Adult,"['Sex comedy', 'Erotica', 'Erotic thriller', 'Pornographic movie', 'Erotic Drama', 'Adult', 'Sexploitation', 'Gay pornography', 'Softcore Porn', 'Pornography', 'Statutory rape', 'Hardcore pornography', 'Pinku eiga', 'C-Movie']"
Animation,"['Animation', 'Anime', 'Computer Animation', 'Clay animation', 'Stop motion', 'Animated cartoon', 'Animated Musical', 'Supermarionation']"
Asian Movies,"['Bollywood', 'Filipino Movies', 'Chinese Movies', 'Japanese Movies', 'Wuxia', 'Samurai cinema', 'Filipino', 'Malayalam Cinema', 'Bengali Cinema', 'Pinku eiga', 'Tamil cinema', 'Tollywood', 'Tokusatsu']"
Children's/Family,"[""Children's/Family"", 'Family Film', ""Children's"", 'Family-Oriented Adventure', ""Children's Fantasy"", ""Children's Entertainment"", 'Animal Picture']"
Comedy,"['Comedy', 'Comedy film', 'Comedy-drama', 'Romantic comedy', 'Black comedy', 'Slapstick', 'Screwball comedy', 'Parody', 'Satire', 'Sex comedy', 'Comedy of manners', 'Fantasy Comedy', 'Crime Comedy', 'Domestic Comedy', 'Musical comedy', 'Horror Comedy', 'Action Comedy', 'Mockumentary', 'Workplace Comedy', 'Political satire', 'Comedy Thriller', 'Media Satire', 'Gross-out film', 'Gross out', 'Tragicomedy', 'Stand-up comedy', 'Heavenly Comedy', 'Comedy horror', 'Courtroom Comedy', 'Humour', 'Chick flick', 'Absurdism', 'Stoner film', 'Beach Film']"
Coming of age,"['Coming of age', 'Coming-of-age film']"
Crime,"['Crime Fiction', 'Crime Thriller', 'Film noir', 'Crime Drama', 'Detective', 'Detective fiction', 'Crime Comedy', 'Caper story', 'Gangster Film', 'Neo-noir', 'Whodunit', 'Law & Crime', 'Future noir', 'Juvenile Delinquency Film', 'Crime', 'Master Criminal Films', 'Giallo', 'Outlaw biker film', 'Outlaw']"
Culture & Society,"['Social issues', 'Social problem film', 'Culture & Society', 'Feminist Film', 'Gender Issues', ""Children's Issues"", 'British New Wave', 'Illnesses & Disabilities']"
