wikipedia_movie_ID,name,original_genres,predicted_genres
26187835,deep waters,['Drama'],[]
8323828,beyond the door,"['Horror', 'Supernatural/Monster']","['Comedy', 'Drama']"
29004017,fjorton suger,"['Drama', 'Romance']","['Drama', 'Horror', 'Indie', 'Science Fiction', 'Thriller']"
76617,vertigo,"['Adaptation', 'Crime', 'Drama', 'Mystery/Suspense', 'Romance', 'Thriller']","['Crime', 'Drama']"
32873419,goodbye first love,"['Drama', 'Romance']",['Drama']
5735396,invasion of the body snatchers,"['Adaptation', 'Disaster/Dystopia', 'Science Fiction', 'Thriller', 'Unconventional']","['Action/Adventure', 'Unconventional']"
31386708,the theatre bizarre,"['Crime', 'Horror', 'Thriller', 'Unconventional']","['Comedy', 'Drama', 'Romance']"
5157844,checking out,['Comedy'],['Comedy']
10026936,take the high ground!,"['Comedy', 'War/combat']",[]
22833618,to die like a man,"['Drama', 'Fantasy', 'Music/Dance', 'Non-fiction/Educational', 'World cinema']",['Drama']
5974081,deepavali,"['Asian Movies', 'Romance']",['Romance']
28703057,the corbett-fitzsimmons fight,['Sports'],"['Drama', 'Indie', 'Old-fashioned/classical style', 'Short Film']"
24383650,the blue mansion,['Comedy'],['Comedy']
619728,tangled,"['Animation', ""Children's/Family"", 'Comedy', 'Fantasy', 'Music/Dance', 'Romance']","['Action/Adventure', 'Crime', 'Drama', 'Thriller']"
31317798,skinner's dress suit,['Comedy'],"['Comedy', 'Old-fashioned/classical style']"
29758162,desert gold,"['Action/Adventure', 'Western']","['Action/Adventure', 'Old-fashioned/classical style', 'Western']"
23751392,ee pattanathil bhootham,['Fantasy'],['Romance']
20700559,miracle on 34th street,"[""Children's/Family"", 'Drama', 'Fantasy']",['Drama']
28803197,the legend of action man,"['Comedy', 'Mystery/Suspense']",['Non-fiction/Educational']
26017039,toss-up,['Drama'],[]
36127934,maleficent,['Fantasy'],['Drama']
7267287,changing husbands,"['Comedy', 'Old-fashioned/classical style']","['Drama', 'Indie', 'Old-fashioned/classical style']"
1705391,naked,"['Comedy', 'Drama']","['Action/Adventure', 'Crime', 'Drama']"
24162487,the gamblers,['Drama'],"['Comedy', 'Drama']"
12243701,d,"['Crime', 'Drama', 'Thriller', 'World cinema']","['Action/Adventure', 'Crime', 'Horror', 'Thriller']"
5584803,sweetie,"['Comedy', 'Drama', 'Indie', 'World cinema']","['Comedy', 'Horror', 'Indie']"
31803599,the angel with the trumpet,['Drama'],"['Drama', 'Romance']"
36105729,the frozen child,"['Drama', 'Old-fashioned/classical style', 'Short Film']",['Old-fashioned/classical style']
12715927,song of the exile,"['Asian Movies', 'Drama']",[]
5083033,never a dull moment,"['Action/Adventure', ""Children's/Family"", 'Comedy', 'Crime', 'Drama', 'Mystery/Suspense']","['Action/Adventure', 'Comedy', 'Romance']"
17285896,intimate strangers,"['Adult', 'Drama', 'Romance', 'Thriller', 'World cinema']","['Comedy', 'Drama']"
479457,eraser,"['Action/Adventure', 'Thriller']","['Drama', 'Non-fiction/Educational', 'War/combat']"
12447521,all aboard! rosie's family cruise,"['Culture & Society', 'Friendships, Family & Personal Relationships', 'LGBT', 'Non-fiction/Educational']",['Drama']
25992848,a wicked ghost ii: the fear,"['Asian Movies', 'Horror']","['Adult', 'Drama']"
900626,dear jesse,"['LGBT', 'Non-fiction/Educational', 'Political']",[]
33210995,state's attorney,['Drama'],"['Crime', 'Drama']"
19312636,the glorious fourth,"[""Children's/Family"", 'Comedy', 'Old-fashioned/classical style', 'Short Film']","['Comedy', 'Old-fashioned/classical style', 'Short Film']"
23894000,without dowry,"['Drama', 'Romance']","['Drama', 'Romance']"
